sender,receiver,date,latitude,longitude,amount
user_44,user_20,1997-12-19 11:11:06.945769,40.63215052695128,-73.96517137523333,58.45071229516849
user_4,user_47,1997-12-20 11:11:06.945769,40.66945005369464,-73.97166764074643,48.92603548243223
user_24,user_25,1997-12-21 11:11:06.945769,40.64026189389549,-74.09365198458055,60.715328071510385
user_7,user_12,1997-12-22 11:11:06.945769,40.71104180469462,-73.94204157782363,73.84544784612038
user_24,user_48,1997-12-23 11:11:06.945769,40.819717853146194,-74.14900826755766,47.48769937914996
user_11,user_39,1997-12-24 11:11:06.945769,40.62289578428588,-74.06541843257604,47.487945645762295
user_2,user_46,1997-12-25 11:11:06.945769,40.80008204977685,-74.19990878128978,74.68819223261087
user_44,user_9,1997-12-26 11:11:06.945769,40.62183279276531,-73.84413734830372,62.51152093729363
user_41,user_9,1997-12-27 11:11:06.945769,40.615237278750314,-74.02315494939452,43.95788421097572
user_6,user_42,1997-12-28 11:11:06.945769,40.78185946183432,-73.78331159651837,59.13840065378947
user_7,user_41,1997-12-29 11:11:06.945769,40.792193637800764,-73.91970500734806,44.04873460781307
user_38,user_25,1997-12-30 11:11:06.945769,40.785140993676265,-73.95519017866489,44.01405369644615
user_18,user_30,1997-12-31 11:11:06.945769,40.56842025917819,-74.0586227694281,54.629434073490515
user_45,user_48,1998-01-01 11:11:06.945769,40.6534049021928,-74.10463500356875,22.300796330133032
user_9,user_40,1998-01-02 11:11:06.945769,40.78229885920034,-73.94770284261031,25.126232512304508
user_28,user_28,1998-01-03 11:11:06.945769,40.70415418405639,-74.0071514009273,42.56568706138541
user_19,user_2,1998-01-04 11:11:06.945769,40.59263071538026,-74.13392703154852,35.80753319498364
user_4,user_25,1998-01-05 11:11:06.945769,40.745831793912544,-74.15168584165083,55.71370998892911
user_4,user_18,1998-01-06 11:11:06.945769,40.62851927410085,-74.09587037291436,37.37963886718183
user_13,user_24,1998-01-07 11:11:06.945769,40.87945248483923,-73.81790327747338,29.815444479970623
user_28,user_18,1998-01-08 11:11:06.945769,40.85448414624183,-73.77867220819887,72.98473153382331
user_11,user_27,1998-01-09 11:11:06.945769,40.76040974263556,-73.9795010852691,47.61335549270196
user_2,user_44,1998-01-10 11:11:06.945769,40.83610067047698,-73.98510572037587,52.012923070318855
user_6,user_35,1998-01-11 11:11:06.945769,40.706479135012344,-74.03363203718295,29.628777206798148
user_12,user_34,1998-01-12 11:11:06.945769,40.77654374943751,-74.09344853483096,42.83425913212226
user_40,user_38,1998-01-13 11:11:06.945769,40.84777202953021,-73.86248209423927,52.663838845647994
user_37,user_6,1998-01-14 11:11:06.945769,40.72454986817944,-73.81264236061028,33.73509633866546
user_24,user_49,1998-01-15 11:11:06.945769,40.674481282848575,-74.08934190858393,56.63547027518508
user_9,user_16,1998-01-16 11:11:06.945769,40.52953780418229,-74.00828383784246,41.99041965121793
user_26,user_23,1998-01-17 11:11:06.945769,40.69168664742785,-74.04498663007102,46.62459375310085
user_4,user_28,1998-01-18 11:11:06.945769,40.78234231845624,-74.0420239074865,41.97440081655905
user_41,user_13,1998-01-19 11:11:06.945769,40.79456334275677,-73.88140917445702,78.78417276763406
user_44,user_12,1998-01-20 11:11:06.945769,40.750436506571845,-74.13119615453661,50.79754162893099
user_4,user_11,1998-01-21 11:11:06.945769,40.64587009050378,-73.95335303090637,35.1343360656615
user_49,user_47,1998-01-22 11:11:06.945769,40.502317843105246,-73.92717618926942,63.338173681547836
user_34,user_49,1998-01-23 11:11:06.945769,40.65047849019953,-74.01421511736018,32.68734525043467
user_22,user_22,1998-01-24 11:11:06.945769,40.66956551289461,-73.91069321730133,54.132953925071334
user_13,user_31,1998-01-25 11:11:06.945769,40.668707103281,-73.98523481594626,21.604948141803366
user_15,user_27,1998-01-26 11:11:06.945769,40.76185563569779,-73.8782870078844,31.077209266523543
user_40,user_27,1998-01-27 11:11:06.945769,40.89856764110149,-74.15222053049258,53.952918538036855
user_38,user_40,1998-01-28 11:11:06.945769,40.71235292018411,-74.03487752610069,62.07699869993116
user_41,user_26,1998-01-29 11:11:06.945769,40.678326821084354,-74.0071813142851,53.57052421784956
user_43,user_7,1998-01-30 11:11:06.945769,40.674077818699594,-74.26722073844714,49.265275764176394
user_44,user_11,1998-01-31 11:11:06.945769,40.71243847669077,-74.10859527335785,46.48344456616067
user_2,user_22,1998-02-01 11:11:06.945769,40.617170623965166,-74.08135992543588,28.822170144488588
user_2,user_40,1998-02-02 11:11:06.945769,40.71201985587461,-73.90517940051767,40.20233687407937
user_43,user_19,1998-02-03 11:11:06.945769,40.74508123363318,-74.07068433463147,44.09041843560319
user_8,user_38,1998-02-04 11:11:06.945769,40.72096860635745,-74.0818078987306,66.85683339328374
user_38,user_20,1998-02-05 11:11:06.945769,40.74575419340048,-73.91825142193439,56.15427434352692
user_18,user_19,1998-02-06 11:11:06.945769,40.743374760934856,-74.161791064579,24.55439766955899
user_29,user_19,1998-02-07 11:11:06.945769,40.52281033177536,-74.20712440674436,55.86125954092193
user_11,user_36,1998-02-08 11:11:06.945769,40.763687015839544,-74.03615923000693,45.22376579375525
user_6,user_47,1998-02-09 11:11:06.945769,40.63289851543376,-74.14477067680784,40.84616999541062
user_9,user_27,1998-02-10 11:11:06.945769,40.59041608369961,-74.14096792946596,60.175144332613016
user_22,user_17,1998-02-11 11:11:06.945769,40.589554817214506,-73.9426566208312,66.46499283743927
user_46,user_18,1998-02-12 11:11:06.945769,40.74335416104726,-73.91240261620874,64.96920178674299
user_25,user_20,1998-02-13 11:11:06.945769,40.677742507277515,-73.92111357841479,38.411737151660425
user_31,user_44,1998-02-14 11:11:06.945769,40.53180312160146,-73.88912233396928,46.36181436223178
user_21,user_42,1998-02-15 11:11:06.945769,40.74780378151923,-73.87588656799852,55.96895147105346
user_38,user_41,1998-02-16 11:11:06.945769,40.55603918692012,-74.21285902088269,65.63317690683539
user_19,user_8,1998-02-17 11:11:06.945769,40.71398213585182,-73.95495880400705,43.81238643232065
user_10,user_40,1998-02-18 11:11:06.945769,40.72384989256731,-74.05296081995695,48.215115350042744
user_46,user_11,1998-02-19 11:11:06.945769,40.788557708169506,-74.07474242459904,34.40497538990958
user_37,user_30,1998-02-20 11:11:06.945769,40.878168478646685,-73.94395853677914,33.05690063878994
user_12,user_12,1998-02-21 11:11:06.945769,40.56353236740995,-74.17302954798957,63.18788733591297
user_19,user_23,1998-02-22 11:11:06.945769,40.6947526143937,-74.17511086058724,71.34360042856234
user_2,user_6,1998-02-23 11:11:06.945769,40.67236647049558,-73.93664272559182,49.91984817629499
user_15,user_35,1998-02-24 11:11:06.945769,40.7433749685961,-73.9512213982489,66.05299346838036
user_38,user_15,1998-02-25 11:11:06.945769,40.721566877093366,-73.98632673441286,56.424540375714514
user_8,user_38,1998-02-26 11:11:06.945769,40.66474537572634,-74.08799134047231,41.323203680923136
user_46,user_28,1998-02-27 11:11:06.945769,40.65590978113892,-73.9256170365418,56.42093408262621
user_35,user_7,1998-02-28 11:11:06.945769,40.5883549144816,-73.93196971079395,74.07054849698955
user_38,user_6,1998-03-01 11:11:06.945769,40.79878615824065,-73.99146954849526,50.46260941335073
user_43,user_27,1998-03-02 11:11:06.945769,40.745920418159955,-74.11773210412697,74.46965483721009
user_30,user_2,1998-03-03 11:11:06.945769,40.791776819779514,-74.04252483457294,11.703823438653835
user_9,user_6,1998-03-04 11:11:06.945769,40.66896038635245,-73.91621663224755,63.32853756562836
user_30,user_32,1998-03-05 11:11:06.945769,40.63431645313056,-73.86728087771982,52.30570602357257
user_49,user_29,1998-03-06 11:11:06.945769,40.59216849333708,-74.03265366033763,46.514889743011985
user_19,user_34,1998-03-07 11:11:06.945769,40.735891758374066,-74.02496729678083,52.37641164803254
user_29,user_1,1998-03-08 11:11:06.945769,40.59602067754718,-74.0161689108025,21.186466280986608
user_2,user_15,1998-03-09 11:11:06.945769,40.884866306896654,-73.97251069910891,47.70492168243732
user_28,user_10,1998-03-10 11:11:06.945769,40.56923574189066,-74.058106730006,56.3566885726762
user_8,user_10,1998-03-11 11:11:06.945769,40.727366011921255,-74.28941850575715,73.16841067112274
user_25,user_10,1998-03-12 11:11:06.945769,40.85668547072138,-73.8807230998353,43.22594672589529
user_10,user_37,1998-03-13 11:11:06.945769,40.759908975926386,-73.82053110528375,38.87259595660218
user_22,user_32,1998-03-14 11:11:06.945769,40.71756737124918,-74.06123998596057,43.47364434623195
user_35,user_36,1998-03-15 11:11:06.945769,40.60315163530381,-74.10666533689188,64.73103176553111
user_42,user_25,1998-03-16 11:11:06.945769,40.56182308114323,-74.01371005223902,55.93126664489527
user_24,user_15,1998-03-17 11:11:06.945769,40.77700501089176,-74.01875038837288,43.05359694349442
user_26,user_9,1998-03-18 11:11:06.945769,40.850614724077495,-73.90044814228371,58.699011496700344
user_31,user_16,1998-03-19 11:11:06.945769,40.656115000952184,-73.9945360558355,52.456163240220604
user_23,user_41,1998-03-20 11:11:06.945769,40.58609384923837,-74.07926228303712,65.52967485799334
user_2,user_19,1998-03-21 11:11:06.945769,40.4541830569451,-74.1318409450558,40.469203591839715
user_39,user_46,1998-03-22 11:11:06.945769,40.60192351563375,-73.91343658151803,46.085067801033475
